ticket_id,inquiry_text,label_category,label_priority,label_department,impact_scope,requester_role,channel,template_group,data_origin
TKT-0001,出勤打刻の操作方法を確認したいです,勤怠,Low,総務,個人,社員,問い合わせフォーム,勤怠-Low-00,synthetic_train
TKT-0002,出勤打刻について問い合わせます。現在、出勤打刻の操作方法を確認したいです,勤怠,Low,総務,個人,社員,問い合わせフォーム,勤怠-Low-00,synthetic_train
TKT-0003,退勤打刻の入力項目の意味を教えてください,勤怠,Low,総務,個人,管理者,Slack,勤怠-Low-01,synthetic_train
TKT-0004,退勤打刻について問い合わせます。現在、退勤打刻の入力項目の意味を教えてください,勤怠,Low,総務,個人,管理者,Slack,勤怠-Low-01,synthetic_train
TKT-0005,休憩時間の表示名を変更したいです,勤怠,Low,総務,部署,社員,メール,勤怠-Low-02,synthetic_train
TKT-0006,休憩時間について問い合わせます。現在、休憩時間の表示名を変更したいです,勤怠,Low,総務,部署,社員,メール,勤怠-Low-02,synthetic_train
TKT-0007,有給申請の設定手順を知りたいです,勤怠,Low,総務,個人,管理者,問い合わせフォーム,勤怠-Low-03,synthetic_train
TKT-0008,有給申請について問い合わせます。現在、有給申請の設定手順を知りたいです,勤怠,Low,総務,個人,管理者,問い合わせフォーム,勤怠-Low-03,synthetic_train
TKT-0009,残業申請の過去データを確認したいです,勤怠,Low,総務,個人,社員,Slack,勤怠-Low-04,synthetic_train
TKT-0010,残業申請について問い合わせます。現在、残業申請の過去データを確認したいです,勤怠,Low,総務,個人,社員,Slack,勤怠-Low-04,synthetic_train
TKT-0011,勤務表の通知設定を変更したいです,勤怠,Low,総務,部署,管理者,メール,勤怠-Low-05,synthetic_train
TKT-0012,勤務表について問い合わせます。現在、勤務表の通知設定を変更したいです,勤怠,Low,総務,部署,管理者,メール,勤怠-Low-05,synthetic_train
TKT-0013,勤怠集計の画面の場所が分かりません,勤怠,Low,総務,個人,社員,問い合わせフォーム,勤怠-Low-06,synthetic_train
TKT-0014,勤怠集計について問い合わせます。現在、勤怠集計の画面の場所が分かりません,勤怠,Low,総務,個人,社員,問い合わせフォーム,勤怠-Low-06,synthetic_train
TKT-0015,休日出勤申請の説明文を修正したいです,勤怠,Low,総務,個人,管理者,Slack,勤怠-Low-07,synthetic_train
TKT-0016,休日出勤申請について問い合わせます。現在、休日出勤申請の説明文を修正したいです,勤怠,Low,総務,個人,管理者,Slack,勤怠-Low-07,synthetic_train
TKT-0017,リモート勤務区分の利用方法を共有してください,勤怠,Low,総務,部署,社員,メール,勤怠-Low-08,synthetic_train
TKT-0018,リモート勤務区分について問い合わせます。現在、リモート勤務区分の利用方法を共有してください,勤怠,Low,総務,部署,社員,メール,勤怠-Low-08,synthetic_train
TKT-0019,承認ワークフローについて急ぎではない質問があります,勤怠,Low,総務,個人,管理者,問い合わせフォーム,勤怠-Low-09,synthetic_train
TKT-0020,承認ワークフローについて問い合わせます。現在、承認ワークフローについて急ぎではない質問があります,勤怠,Low,総務,個人,管理者,問い合わせフォーム,勤怠-Low-09,synthetic_train
TKT-0021,出勤打刻が一覧に反映されません,勤怠,Middle,総務,個人,社員,Slack,勤怠-Middle-00,synthetic_train
TKT-0022,出勤打刻について問い合わせます。現在、出勤打刻が一覧に反映されません,勤怠,Middle,総務,個人,社員,Slack,勤怠-Middle-00,synthetic_train
TKT-0023,退勤打刻を保存するとエラーになります,勤怠,Middle,総務,部署,管理者,問い合わせフォーム,勤怠-Middle-01,synthetic_train
TKT-0024,退勤打刻について問い合わせます。現在、退勤打刻を保存するとエラーになります,勤怠,Middle,総務,部署,管理者,問い合わせフォーム,勤怠-Middle-01,synthetic_train
TKT-0025,休憩時間の検索結果が表示されません,勤怠,Middle,総務,複数部署,社員,メール,勤怠-Middle-02,synthetic_train
TKT-0026,休憩時間について問い合わせます。現在、休憩時間の検索結果が表示されません,勤怠,Middle,総務,複数部署,社員,メール,勤怠-Middle-02,synthetic_train
TKT-0027,有給申請の通知が担当者へ届きません,勤怠,Middle,総務,個人,管理者,Slack,勤怠-Middle-03,synthetic_train
TKT-0028,有給申請について問い合わせます。現在、有給申請の通知が担当者へ届きません,勤怠,Middle,総務,個人,管理者,Slack,勤怠-Middle-03,synthetic_train
TKT-0029,残業申請を開くと白い画面になります,勤怠,Middle,総務,部署,社員,問い合わせフォーム,勤怠-Middle-04,synthetic_train
TKT-0030,残業申請について問い合わせます。現在、残業申請を開くと白い画面になります,勤怠,Middle,総務,部署,社員,問い合わせフォーム,勤怠-Middle-04,synthetic_train
TKT-0031,勤務表の処理が遅く業務に支障があります,勤怠,Middle,総務,複数部署,管理者,メール,勤怠-Middle-05,synthetic_train
TKT-0032,勤務表について問い合わせます。現在、勤務表の処理が遅く業務に支障があります,勤怠,Middle,総務,複数部署,管理者,メール,勤怠-Middle-05,synthetic_train
TKT-0033,勤怠集計の一部データが更新されていません,勤怠,Middle,総務,個人,社員,Slack,勤怠-Middle-06,synthetic_train
TKT-0034,勤怠集計について問い合わせます。現在、勤怠集計の一部データが更新されていません,勤怠,Middle,総務,個人,社員,Slack,勤怠-Middle-06,synthetic_train
TKT-0035,休日出勤申請の状態を変更できません,勤怠,Middle,総務,部署,管理者,問い合わせフォーム,勤怠-Middle-07,synthetic_train
TKT-0036,休日出勤申請について問い合わせます。現在、休日出勤申請の状態を変更できません,勤怠,Middle,総務,部署,管理者,問い合わせフォーム,勤怠-Middle-07,synthetic_train
TKT-0037,リモート勤務区分で特定条件だけ処理が失敗します,勤怠,Middle,総務,複数部署,社員,メール,勤怠-Middle-08,synthetic_train
TKT-0038,リモート勤務区分について問い合わせます。現在、リモート勤務区分で特定条件だけ処理が失敗します,勤怠,Middle,総務,複数部署,社員,メール,勤怠-Middle-08,synthetic_train
